scene_id,condition,strategy,run_number,model,raw_node_precision,raw_node_recall,raw_node_f1,raw_edge_precision,raw_edge_recall,raw_edge_f1,final_node_precision,final_node_recall,final_node_f1,final_edge_precision,final_edge_recall,final_edge_f1,gold_node_count,gold_edge_count,raw_node_count,raw_edge_count,final_node_count,final_edge_count,ontology_conformance,relation_hallucination_rate,subject_hallucinations,object_hallucinations,evidence_hallucinations,schema_invalid_relations,runtime_seconds,execution_error,llm_extracted_edges,fallback_edges
indego_user_16_user_2_0111_1_s1,raw,layered,1,llama3.1:8b,0.3529,0.2143,0.2667,0.0,0.0,0.0,0.3529,0.2143,0.2667,0.0,0.0,0.0,28,36,17,9,17,19,1.0,0.0,0,9,8,0,89.8706,,9,19
indego_user_16_user_2_0111_1_s1,raw,layered,2,llama3.1:8b,0.3529,0.2143,0.2667,0.0,0.0,0.0,0.3529,0.2143,0.2667,0.0,0.0,0.0,28,36,17,9,17,19,1.0,0.0,0,9,8,0,80.6265,,9,19
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,layered,1,llama3.1:8b,0.4286,1.0,0.6,0.25,0.5,0.3333,0.4286,1.0,0.6,0.3333,1.0,0.5,3,2,7,4,7,6,1.0,0.0,0,0,1,0,73.4632,,4,4
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,layered,2,llama3.1:8b,0.4286,1.0,0.6,0.25,0.5,0.3333,0.4286,1.0,0.6,0.3333,1.0,0.5,3,2,7,4,7,6,1.0,0.0,0,0,1,0,50.0343,,4,4
indego_user_15_411_2309_2_1_s1,raw,layered,1,llama3.1:8b,0.25,0.1875,0.2143,0.0,0.0,0.0,0.25,0.1875,0.2143,0.0,0.0,0.0,16,24,12,12,12,15,1.0,0.0,0,4,3,0,155.35,,12,7
indego_user_15_411_2309_2_1_s1,raw,layered,2,llama3.1:8b,0.25,0.1875,0.2143,0.0,0.0,0.0,0.25,0.1875,0.2143,0.0,0.0,0.0,16,24,12,12,12,15,1.0,0.0,0,4,3,0,120.0423,,12,7
indego_user_14_user_1_1410_2_s1,raw,layered,1,llama3.1:8b,0.1053,0.0909,0.0976,0.0,0.0,0.0,0.1053,0.0909,0.0976,0.0,0.0,0.0,22,25,19,14,19,15,1.0,0.0,0,14,0,0,157.2255,,14,15
indego_user_14_user_1_1410_2_s1,raw,layered,2,llama3.1:8b,0.1053,0.0909,0.0976,0.0,0.0,0.0,0.1053,0.0909,0.0976,0.0,0.0,0.0,22,25,19,14,19,15,1.0,0.0,0,14,0,0,119.8091,,14,15
indego_user_14_user_15_2410_1_s1,raw,layered,1,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,19,0,0,0,0,1.0,0.0,0,0,0,0,159.9302,"LLMJsonParseError: unexpected indent (<unknown>, line 2)",0,0
indego_user_14_user_15_2410_1_s1,raw,layered,2,llama3.1:8b,0.2727,0.1667,0.2069,0.0,0.0,0.0,0.2727,0.1667,0.2069,0.0,0.0,0.0,18,19,11,16,11,23,1.0,0.0,0,7,6,0,133.7116,,16,11
